"Lon","Lat","PM25_AVG","var1.var"
0.960000000000001,48.7,9.36042489009416,NA
1.06,48.7,9.4312141698729,NA
1.16,48.7,9.4979101709664,NA
1.26,48.7,9.56077213629029,NA
1.36,48.7,9.6208176334498,NA
1.46,48.7,9.67944166821699,NA
1.56,48.7,9.73789289311505,NA
1.66,48.7,9.79683803911229,NA
1.76,48.7,9.85612935971102,NA
1.86,48.7,9.9148206656338,NA
1.96,48.7,9.97141296614256,NA
2.06,48.7,10.0242137673164,NA
2.16,48.7,10.0716645972981,NA
2.26,48.7,10.11255652329,NA
2.36,48.7,10.1461146280645,NA
2.46,48.7,10.1719616506134,NA
-9.04,48.8,3.56078633500767,NA
-8.94,48.8,3.63321783505417,NA
-8.84,48.8,3.62623869092881,NA
-8.74,48.8,3.64851401945919,NA
-8.64,48.8,3.69496035987055,NA
-8.54,48.8,3.65199831710335,NA
-8.44,48.8,3.64899128321919,NA
-8.34,48.8,3.77258088323182,NA
-8.24,48.8,3.78812371193233,NA
-8.14,48.8,3.78491799237788,NA
-8.04,48.8,3.85604047574766,NA
-7.94,48.8,3.87245987343533,NA
-7.84,48.8,3.82181177201482,NA
-7.74,48.8,3.9486470615705,NA
-7.64,48.8,3.99257953389938,NA
-7.54,48.8,3.98262324896269,NA
-7.44,48.8,4.05667292470595,NA
-7.34,48.8,4.11586891203041,NA
-7.24,48.8,4.09990711744127,NA
-7.14,48.8,4.16269676900019,NA
-7.04,48.8,4.233653083306,NA
-6.94,48.8,4.23981618811341,NA
-6.84,48.8,4.25143039686273,NA
-6.74,48.8,4.37226252650694,NA
-6.64,48.8,4.40536026139883,NA
-6.54,48.8,4.44495810549743,NA
-6.44,48.8,4.57472250911156,NA
-6.34,48.8,4.65317380999579,NA
-6.24,48.8,4.70124873139715,NA
-6.14,48.8,4.89397237736321,NA
-6.04,48.8,5.04903614015555,NA
-5.94,48.8,5.33065283593116,NA
-5.84,48.8,5.36963735528381,NA
-5.74,48.8,5.41102721311254,NA
-5.64,48.8,5.67713410357619,NA
-5.54,48.8,5.65661354411102,NA
-5.44,48.8,5.49389641880082,NA
-5.34,48.8,5.49132885109385,NA
-5.24,48.8,5.48596598688572,NA
-5.14,48.8,5.49231341483568,NA
-5.04,48.8,5.52164000393634,NA
-4.94,48.8,5.55596424596782,NA
-4.84,48.8,5.6105477803424,NA
-4.74,48.8,5.68494441895818,NA
-4.64,48.8,5.7467521987981,NA
-4.54,48.8,5.88137941047586,NA
-4.44,48.8,5.99313742287942,NA
-4.34,48.8,6.13686453864141,NA
-4.24,48.8,6.26627708542513,NA
-4.14,48.8,6.25724942644383,NA
-4.04,48.8,6.34331398414483,NA
-3.94,48.8,6.41768557173837,NA
-3.84,48.8,6.45928538401575,NA
-3.74,48.8,6.65008833708606,NA
-3.64,48.8,7.13317790955681,NA
-3.54,48.8,7.12530370817391,NA
-3.44,48.8,7.17709320230086,NA
-3.34,48.8,8.32947556858463,NA
-3.24,48.8,8.1276455326116,NA
-3.14,48.8,7.05562661593325,NA
-3.04,48.8,7.10828103604782,NA
-2.94,48.8,6.73114827768322,NA
-2.84,48.8,6.60062244132801,NA
-2.74,48.8,6.60039110522152,NA
-2.64,48.8,6.63303848720128,NA
-2.54,48.8,6.6760296042277,NA
-2.44,48.8,6.73234322738832,NA
-2.34,48.8,6.8004357706495,NA
-2.24,48.8,6.87409717896026,NA
-2.14,48.8,6.95554493777494,NA
-2.04,48.8,7.047127088854,NA
-1.94,48.8,7.15016072205426,NA
-1.84,48.8,7.26595703314081,NA
-1.74,48.8,7.393569263712,NA
-1.64,48.8,7.52171952448254,NA
-1.54,48.8,7.63549108750071,NA
-1.44,48.8,7.72684601248664,NA
-1.34,48.8,7.80118061081965,NA
-1.24,48.8,7.86627382001222,NA
-1.14,48.8,7.92857357473562,NA
-1.04,48.8,7.99256787072796,NA
-0.94,48.8,8.06075559461469,NA
-0.839999999999998,48.8,8.13450060586195,NA
-0.739999999999998,48.8,8.21412324221428,NA
-0.639999999999999,48.8,8.2979842102083,NA
-0.539999999999999,48.8,8.38317365529513,NA
-0.44,48.8,8.46636891101393,NA
-0.339999999999998,48.8,8.54480924782445,NA
-0.239999999999998,48.8,8.61773753982644,NA
-0.139999999999999,48.8,8.68720599317003,NA
-0.0399999999999991,48.8,8.75676045263178,NA
0.0600000000000005,48.8,8.82857383642481,NA
0.160000000000002,48.8,8.90287310743187,NA
0.260000000000002,48.8,8.97938563320386,NA
0.360000000000001,48.8,9.05834979086253,NA
0.460000000000001,48.8,9.13992690685245,NA
