Title:,Time Series, Area-Averaged of SO2 Column Amount (Planetary Boundary Layer) OMSO2e v003 ()
User Start Date:,2013-01-01T00:00:00Z
User End Date:,2013-12-31T23:59:59Z
Bounding Box:,"-13.690860747999956,49.86288833600005,1.7574445010000304,60.86208343500001"
URL to Reproduce Results:,"http://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-01-01T00:00:00Z&endtime=2013-12-31T23:59:59Z&shape=state_dept_countries/shp_79&bbox=-13.690860747999956,49.86288833600005,1.7574445010000304,60.86208343500001&data=OMSO2e_003_ColumnAmountSO2_PBL&portal=GIOVANNI&format=json"
Fill Value:,-1.267651e+30

time, OMSO2e_003_ColumnAmountSO2_PBL
2013-12-14,-1.267651e+30
2013-12-15,-1.267651e+30
2013-12-16,-1.267651e+30
2013-12-17,-1.267651e+30
2013-12-18,-1.267651e+30
2013-12-19,-1.267651e+30
2013-12-20,-1.267651e+30
2013-12-21,-1.267651e+30
2013-12-22,-1.267651e+30
2013-12-23,-1.267651e+30
2013-12-24,-1.267651e+30
2013-12-25,-1.267651e+30
2013-12-26,-1.267651e+30
2013-12-27,-1.267651e+30
2013-12-28,-1.267651e+30
2013-12-29,-1.267651e+30
2013-12-30,-1.267651e+30
2013-12-31,-1.267651e+30
