Title:,Time Series, Area-Averaged of SO2 Column Amount (Planetary Boundary Layer) OMSO2e v003 daily 0.25 ()
User Start Date:,2013-01-01T00:00:00Z,
User End Date:,2013-12-31T23:59:59Z,
Bounding Box:,"-22.5,41.4844,6.3281,67.5",
URL to Reproduce Results:,"http://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-01-01T00:00:00Z&endtime=2013-12-31T23:59:59Z&bbox=-22.5,41.4844,6.3281,67.5&data=OMSO2e_003_ColumnAmountSO2_PBL&portal=GIOVANNI&format=json",
Fill Value:,-1.27E+30,
,,
time, OMSO2e_003_ColumnAmountSO2_PBL,
14/09/2013,-0.0149862,
15/09/2013,-0.010978,
16/09/2013,-0.0141947,
17/09/2013,-0.00742168,
18/09/2013,0.0299133,
19/09/2013,0.0395786,
20/09/2013,0.0223988,
21/09/2013,0.0356113,
22/09/2013,0.0724757,
23/09/2013,0.0319127,
24/09/2013,,
25/09/2013,0.00867682,
26/09/2013,0.0240118,
27/09/2013,0.0274422,
28/09/2013,0.0321446,
29/09/2013,0.0333652,
30/09/2013,0.00647151,
01/10/2013,0.0558204,
02/10/2013,0.024527,
03/10/2013,0.0510215,
04/10/2013,0.0251051,
05/10/2013,0.0390056,
06/10/2013,0.0042038,
07/10/2013,0.0235744,
08/10/2013,0.030609,
09/10/2013,0.011289,
10/10/2013,-0.00672904,
11/10/2013,0.00428805,
12/10/2013,0.0221003,
13/10/2013,0.0378793,
14/10/2013,0.00880963,
15/10/2013,-0.0221019,
16/10/2013,0.00634414,
17/10/2013,0.0282686,
18/10/2013,0.0288014,
19/10/2013,0.0749671,
20/10/2013,0.0299735,
21/10/2013,0.0373875,
22/10/2013,0.0608538,
23/10/2013,0.0384927,
24/10/2013,0.018411,
25/10/2013,0.0227075,
26/10/2013,,
27/10/2013,-7.89E-05,
28/10/2013,-0.0395819,
29/10/2013,-0.0186904,
30/10/2013,-0.045849,
31/10/2013,0.0689386,
01/11/2013,-0.0582942,
02/11/2013,0.0274687,
03/11/2013,,
04/11/2013,-0.0224495,
05/11/2013,0.0447577,
06/11/2013,-0.0014157,
07/11/2013,-0.0766974,
08/11/2013,-0.0357926,
09/11/2013,-0.0709581,
10/11/2013,-0.0557048,
11/11/2013,0.0113335,
12/11/2013,0.00114237,
13/11/2013,-0.0579678,
14/11/2013,-0.0891431,
15/11/2013,0.0168838,
16/11/2013,0.0149471,
17/11/2013,-0.164717,
18/11/2013,-0.0193408,
19/11/2013,-0.0651379,
20/11/2013,0.0221,
21/11/2013,-0.079768,
22/11/2013,0.011351,
23/11/2013,-0.0708204,
24/11/2013,-0.00614691,
25/11/2013,-0.0457405,
26/11/2013,0.118291,
27/11/2013,,
28/11/2013,0.00326841,
29/11/2013,0.0326775,
30/11/2013,0.0201695,
01/12/2013,-0.014097,
02/12/2013,-0.0215128,
03/12/2013,0.0458267,
04/12/2013,0.0692795,
05/12/2013,0.0507478,
06/12/2013,0.0792342,
07/12/2013,0.0122041,
08/12/2013,-0.0328432,
09/12/2013,-0.0160466,
10/12/2013,0.0686363,
11/12/2013,0.0643134,
12/12/2013,-0.05814,
13/12/2013,0.0752314,
14/12/2013,0.061641,
15/12/2013,0.0141359,
16/12/2013,0.0313639,
17/12/2013,0.171836,
18/12/2013,0.0977248,
19/12/2013,0.0499188,
20/12/2013,0.0802757,
21/12/2013,0.0335096,
22/12/2013,-0.000528887,
23/12/2013,0.0270175,
24/12/2013,0.0249959,
25/12/2013,0.0701033,
26/12/2013,-0.0261894,
27/12/2013,0.0786139,
28/12/2013,0.0612692,
29/12/2013,,
30/12/2013,0.0139897,
31/12/2013,0.0673739,
,-1.175769003,
